Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: bcm
,Primary energy: Bioenergy,Primary energy: Fossil fuels,Primary energy: Hydrogen,Power generation: Fossil fuels,Power generation: Nuclear,Power generation: Renewables	
2021,17.5,18.8,1.6,11.2,4.0,1.0
2030,22.9,18.6,1.9,10.3,4.8,2.7
